exp-den, med, rw, budget, mod
4879, 4917, 4685, 310, 3609
4879, 4917, 4685, 320, 3663
4880, 4923, 4688, 330, 3669
4882, 4927, 4688, 340, 3674
4883, 4929, 4688, 350, 3678
4884, 4929, 4713, 360, 3694
4894, 4930, 4717, 370, 3697
4897, 4930, 4719, 380, 3856
4905, 4930, 4721, 390, 3857
4909, 4949, 4758, 400, 3887
4914, 4950, 4761, 410, 3906
4914, 4950, 4772, 420, 3952
4914, 4951, 4772, 430, 4105
4914, 4951, 4773, 440, 4191
4947, 4951, 4787, 450, 4204
4948, 4951, 4842, 460, 4210
4964, 4952, 4916, 470, 4235
4964, 4952, 4916, 480, 4291
4964, 4952, 4917, 490, 4350
1384, 3535, 1237, 10, 1479
2324, 3835, 1456, 20, 1687
3250, 3862, 1631, 30, 2168
3507, 3993, 2381, 40, 2268
3844, 4143, 3170, 50, 2276
4098, 4223, 3546, 60, 2280
4282, 4263, 3894, 70, 2293
4361, 4351, 4074, 80, 2311
4438, 4387, 4129, 90, 2506
4494, 4651, 4209, 100, 2533
4503, 4695, 4419, 110, 2549
4572, 4703, 4430, 120, 2556
4589, 4793, 4433, 130, 2571
4599, 4795, 4438, 140, 2579
4633, 4800, 4442, 150, 2589
4651, 4807, 4447, 160, 2599
4666, 4807, 4456, 170, 2921
4743, 4810, 4459, 180, 3009
4752, 4811, 4468, 190, 3011
4753, 4812, 4473, 200, 3011
4758, 4817, 4523, 210, 3012
4763, 4821, 4540, 220, 3017
4764, 4823, 4542, 230, 3071
4765, 4823, 4545, 240, 3082
4771, 4830, 4552, 250, 3090
4786, 4907, 4556, 260, 3096
4798, 4907, 4557, 270, 3193
4800, 4910, 4575, 280, 3254
4805, 4910, 4715, 290, 3259
4806, 4915, 4734, 300, 3259
4833, 4917, 4735, 310, 3468
4847, 4917, 4748, 320, 3663
4856, 4923, 4754, 330, 3669
4857, 4927, 4758, 340, 3674
4859, 4929, 4758, 350, 3678
4862, 4929, 4758, 360, 3694
4915, 4930, 4758, 370, 3697
4916, 4930, 4765, 380, 3856
4917, 4931, 4768, 390, 3857
4918, 4949, 4771, 400, 3887
4918, 4950, 4771, 410, 3906
4934, 4950, 4781, 420, 3952
4934, 4951, 4787, 430, 4105
4934, 4951, 4790, 440, 4191
4934, 4951, 4790, 450, 4204
4934, 4951, 4793, 460, 4210
4934, 4952, 4794, 470, 4235
4936, 4952, 4802, 480, 4291
4937, 4952, 4803, 490, 4350
1884, 3622, 1300, 10, 2071
2348, 3741, 2444, 20, 2259
3119, 3769, 2674, 30, 2316
3131, 3903, 3166, 40, 2364
3486, 4143, 3611, 50, 2393
3947, 4223, 3744, 60, 2481
4053, 4263, 3811, 70, 2493
4272, 4351, 3876, 80, 2501
4275, 4385, 3920, 90, 2563
4352, 4650, 3922, 100, 2588
4517, 4695, 3926, 110, 2591
4539, 4703, 4017, 120, 2596
4558, 4793, 4075, 130, 2606
4612, 4795, 4120, 140, 2614
4623, 4800, 4156, 150, 2632
4667, 4807, 4167, 160, 2637
4698, 4807, 4204, 170, 2698
4707, 4810, 4315, 180, 2699
4712, 4811, 4321, 190, 2724
4720, 4812, 4350, 200, 2727
4729, 4817, 4351, 210, 2728
4742, 4821, 4414, 220, 2730
4756, 4823, 4535, 230, 2730
4763, 4823, 4544, 240, 2733
4785, 4830, 4544, 250, 3203
4801, 4906, 4559, 260, 3371
4873, 4907, 4663, 270, 3371
4896, 4907, 4682, 280, 3377
4949, 4910, 4717, 290, 3400
4950, 4915, 4721, 300, 3401
4953, 4917, 4722, 310, 3411
4954, 4917, 4726, 320, 3414
4954, 4923, 4727, 330, 3414
4954, 4927, 4727, 340, 3421
4954, 4929, 4733, 350, 3421
4954, 4929, 4734, 360, 3422
4956, 4930, 4734, 370, 3425
4957, 4930, 4737, 380, 3430
4957, 4930, 4743, 390, 3431
4962, 4950, 4752, 400, 3433
4962, 4950, 4754, 410, 3433
4962, 4950, 4757, 420, 3440
4962, 4951, 4759, 430, 3443
4963, 4951, 4759, 440, 3443
4964, 4951, 4761, 450, 3445
4965, 4951, 4761, 460, 3502
4965, 4952, 4762, 470, 3503
4965, 4952, 4780, 480, 3507
4965, 4952, 4780, 490, 3572
